Gene,Prop0,Mean0,Prop1,Mean1,Prop2,Mean2,Prop3,Mean3,Prop4,Mean4
RPS6KA4,0.12882096069868995,0.15179846822224355,0.14950166112956811,0.11381628882750418,0.16279069767441862,0.09095948288788272,0.11864406779661017,0.08350307581861316,0.23684210526315788,0.17140287363185563
SLC22A11,0,0,0.006644518272425249,0.0024511364873409324,0,0,0.05084745762711865,0.04102947830164184,0.02631578947368421,0.018547294208015694
NRXN2,0.03711790393013101,0.044031608139185524,0.19933554817275748,0.14157142035909745,0.2616279069767442,0.15625164646780487,0.3305084745762712,0.3091114288536914,0.15789473684210525,0.07229266872939312
RASGRP2,0.006550218340611353,0.0044991639950633395,0.05647840531561462,0.023661560758236645,0.06976744186046512,0.03575826114211857,0.0423728813559322,0.023788788212698895,0.10526315789473684,0.10577866918443332
PYGM,0.004366812227074236,0.009063502104710184,0.013289036544850499,0.00616606743003679,0.005813953488372093,0.004866047445909017,0.00847457627118644,0.0018300458389881751,0,0
SF1,0.631004366812227,1.5513871639200012,0.7840531561461794,1.6760143767696483,0.872093023255814,1.6788341144575796,0.6694915254237288,0.9390560316430293,0.7368421052631579,0.9911335964098786
MAP4K2,0.11135371179039301,0.12198978643223211,0.17940199335548174,0.1275072288975123,0.19767441860465115,0.12515189800693802,0.11864406779661017,0.0604066063689769,0.13157894736842105,0.08850824366274591
MEN1,0.07860262008733625,0.09310226721732011,0.21262458471760798,0.15672630559907116,0.3313953488372093,0.20127380673236472,0.23728813559322035,0.18617581727665194,0.27631578947368424,0.1784849632753985
CDC42BPG,0.006550218340611353,0.010795622701749113,0.026578073089700997,0.025912447638408165,0.011627906976744186,0.0067240755847915975,0,0,0.013157894736842105,0.0049032587057358315
EHD1,0.1703056768558952,0.2630291835470676,0.24916943521594684,0.21172352839983843,0.20930232558139536,0.12826270350737434,0.2457627118644068,0.179611271797911,0.2894736842105263,0.21499546874502054
MIR194-2HG,0.004366812227074236,0.005651156995280277,0.0033222591362126247,0.0012508505783933076,0.005813953488372093,0.0011801147826842231,0.01694915254237288,0.009104208774397436,0.02631578947368421,0.03983985643618215
ATG2A,0.13755458515283842,0.18464870451300394,0.19269102990033224,0.20514626075292763,0.1569767441860465,0.11319739513075719,0.1694915254237288,0.1465025829639269,0.15789473684210525,0.1079518508159313
PPP2R5B,0.07423580786026202,0.08922409534544447,0.10631229235880399,0.07643872020416831,0.11046511627906977,0.05875486247928357,0.15254237288135594,0.1227221588481011,0.18421052631578946,0.142100197741617
GPHA2,0.002183406113537118,0.003405187326165187,0.0033222591362126247,8.296936057671007e-4,0.06395348837209303,0.05164345408948562,0.03389830508474576,0.038605217732570495,0.039473684210526314,0.020534725845629244
MAJIN,0.004366812227074236,0.0066306975851982575,0,0,0,0,0.00847457627118644,0.009280087900992598,0,0
BATF2,0.002183406113537118,0.004819881045335801,0.0033222591362126247,0.0010263389361175857,0.005813953488372093,0.004863198233686401,0,0,0.013157894736842105,0.005815901138986079
ARL2,0.4126637554585153,0.6607912832756693,0.43521594684385384,0.449180852783528,0.6162790697674418,0.7329018793279908,0.5,0.5082029514832777,0.6973684210526315,0.8869769969807493
SNX15,0.013100436681222707,0.015667580319576838,0.026578073089700997,0.020180791264261977,0.040697674418604654,0.021323894925381996,0.01694915254237288,0.008951234846930224,0,0
SAC3D1,0.17903930131004367,0.23040673098585787,0.3122923588039867,0.2782850165810009,0.5174418604651163,0.44230754062338706,0.3305084745762712,0.3164844456823021,0.4342105263157895,0.29169898364697056
NAALADL1,0.019650655021834062,0.019953371513403106,0.053156146179401995,0.026012242094706144,0.16279069767441862,0.07888090286842811,0.03389830508474576,0.0194234382513809,0.07894736842105263,0.05847432033514439
CDCA5,0.019650655021834062,0.01698286881298117,0.08970099667774087,0.04095569387279388,0.18023255813953487,0.12172661817722322,0.1016949152542373,0.06075117928209472,0.18421052631578946,0.09507289411613161
ZFPL1,0.37117903930131,0.6135950821090785,0.4318936877076412,0.48032134080994543,0.36627906976744184,0.2715844045151306,0.288135593220339,0.2130028204452821,0.3815789473684211,0.2873589085798476
TMEM262,0,0,0,0,0,0,0,0,0,0
